Time (ms),X,Y,Z
85,296,-1857,-8209
165,607,-1906,-8204
245,582,-1817,-8040
325,366,-1819,-7921
405,324,-1794,-7993
485,305,-1646,-8036
565,407,-1526,-8047
645,488,-1444,-8112
725,373,-1355,-8228
805,165,-1279,-8273
885,94,-1209,-8303
965,69,-1142,-8291
1045,7,-1137,-8243
1125,-14,-1143,-8169
1205,78,-1137,-8075
1285,96,-1143,-8142
1365,122,-1138,-8284
1445,91,-1152,-8222
1605,-26,-1193,-8117
1685,-81,-1186,-8144
1765,-98,-1157,-8200
1845,-114,-1144,-8226
1925,-139,-1095,-8247
2005,-142,-1064,-8205
2085,-109,-1066,-8134
2165,-102,-1084,-8169
2245,-125,-1118,-8220
2324,-102,-1083,-8175
2404,-107,-1050,-8129
2484,-127,-1051,-8133
2564,-128,-1043,-8126
2644,-145,-1031,-8141
2724,-128,-999,-8156
2804,-137,-1019,-8163
2884,-175,-1063,-8166
2964,-167,-1074,-8159
3045,-146,-1063,-8190
3204,-154,-1049,-8187
3284,-166,-1059,-8177
3364,-154,-1089,-8181
3444,-132,-1087,-8183
3524,-156,-1060,-8175
3604,-158,-1064,-8146
3684,-134,-1058,-8175
3764,-139,-1029,-8163
3844,-168,-1033,-8115
3924,-215,-1052,-8092
4004,-212,-1052,-8142
4084,-193,-1078,-8198
4164,-193,-1064,-8191
4244,-176,-1015,-8196
4324,-176,-992,-8181
4404,-193,-999,-8183
4484,-193,-1010,-8192
4564,-167,-998,-8231
4644,-163,-1019,-8232
4724,-204,-1028,-8172
4884,-249,-1024,-8145
4964,-253,-1022,-8158
5044,-238,-987,-8155
5124,-231,-954,-8120
5204,-219,-955,-8171
5284,-231,-956,-8204
5364,-253,-956,-8194
5444,-255,-956,-8223
5524,-247,-956,-8202
5604,-192,-973,-8201
5684,-116,-990,-8218
5764,-131,-997,-8191
5844,-215,-976,-8162
5924,-237,-991,-8114
6004,-205,-1033,-8118
6084,-207,-992,-8154
6164,-208,-930,-8162
6244,-191,-918,-8165
6324,-200,-947,-8133
6404,-188,-927,-8135
6564,-173,-908,-8145
6644,-218,-942,-8123
6724,-238,-958,-8139
6804,-248,-983,-8180
6884,-261,-994,-8165
6964,-242,-974,-8141
7044,-224,-965,-8165
7124,-216,-960,-8210
7204,-220,-950,-8230
7284,-231,-945,-8180
7364,-211,-942,-8157
7444,-167,-916,-8197
7524,-163,-886,-8225
7604,-170,-889,-8203
7684,-182,-891,-8185
7764,-222,-883,-8151
7844,-240,-888,-8126
7924,-215,-916,-8140
8004,-143,-938,-8164
8084,-153,-913,-8201
8243,-217,-902,-8201
8323,-255,-888,-8149
8403,-264,-890,-8143
8483,-235,-943,-8182
8563,-212,-958,-8192
8643,-219,-923,-8145
8723,-222,-907,-8158
8803,-198,-908,-8189
8883,-204,-891,-8169
8963,-215,-909,-8135
9043,-203,-909,-8136
9123,-172,-900,-8162
9203,-157,-930,-8166
9283,-184,-944,-8150
9363,-206,-942,-8126
9443,-241,-933,-8131
9523,-284,-928,-8126
9603,-252,-926,-8131
9683,-178,-848,-8194
9843,-169,-812,-8223
9923,-190,-855,-8177
10003,-174,-849,-8181
