Time (ms),X,Y,Z
23921,355,-311,-8307
24001,353,-339,-8285
24081,361,-276,-8223
24161,433,-84,-8211
24241,527,-21,-8240
24321,399,-51,-8244
24401,280,-270,-8238
24481,464,-252,-8227
24561,506,106,-8204
24641,492,9,-8253
24721,827,646,-8387
24881,1137,1114,-8373
24961,991,564,-8264
25040,641,274,-8221
25120,470,87,-8210
25201,407,-85,-8205
