Time (ms),X,Y,Z
85,42,1450,-8026
165,-288,1754,-7820
245,-92,2340,-7536
325,25,2433,-7225
405,-620,2947,-6772
485,-1382,3682,-6672
565,-1883,4340,-6626
725,-2176,4613,-6373
805,-2586,4757,-6221
885,-3179,4884,-6159
965,-3797,4790,-5806
1045,-4537,4438,-5231
1125,-5446,4163,-4724
1204,-6118,3950,-4325
1284,-6397,3705,-4088
1364,-6382,3463,-3857
1444,-6306,3393,-3656
1524,-6314,3522,-3545
1604,-6420,3643,-3357
1685,-6725,3699,-3175
1764,-6988,3597,-2962
1844,-7033,3481,-2607
1924,-7054,3393,-2296
2004,-7150,3215,-2203
2084,-7237,3157,-2227
2164,-7260,3233,-2255
2324,-7237,3191,-2183
2404,-7277,3138,-2013
2484,-7305,3147,-1866
2564,-7275,3135,-1856
2644,-7337,3112,-1895
2724,-7409,3169,-1930
2804,-7375,3213,-2023
2884,-7307,3131,-2007
2964,-7276,3050,-1922
3044,-7296,3090,-1866
3124,-7296,3193,-1831
3204,-7262,3207,-1874
3284,-7272,3231,-1963
3364,-7302,3293,-1996
3444,-7333,3288,-1934
3524,-7331,3277,-1829
3604,-7295,3298,-1771
3684,-7287,3256,-1736
3764,-7301,3185,-1702
3844,-7350,3127,-1669
4004,-7364,3074,-1663
4084,-7345,3075,-1685
4164,-7345,3084,-1687
4244,-7319,3139,-1705
4324,-7324,3199,-1704
4404,-7395,3253,-1721
4484,-7402,3244,-1815
4564,-7380,3128,-1841
4644,-7361,3057,-1777
4724,-7327,3007,-1730
4804,-7353,2975,-1708
4884,-7383,2995,-1698
4964,-7388,3012,-1684
5044,-7399,3029,-1720
5124,-7379,3036,-1746
5204,-7378,3032,-1733
5284,-7394,3055,-1743
5364,-7402,3126,-1765
5444,-7397,3176,-1784
5604,-7369,3156,-1767
5684,-7365,3122,-1794
5764,-7371,3114,-1806
5844,-7374,3085,-1837
5924,-7358,3054,-1877
6004,-7394,3066,-1862
6084,-7427,3097,-1863
6164,-7383,3094,-1856
6244,-7380,3041,-1861
6324,-7395,3017,-1880
6404,-7377,3023,-1846
6484,-7343,3017,-1771
6564,-7292,3014,-1778
6644,-7303,3029,-1833
6724,-7317,3028,-1824
6804,-7315,3028,-1828
6884,-7348,3053,-1848
6964,-7380,3091,-1848
7044,-7387,3126,-1857
7124,-7373,3107,-1852
7283,-7383,3081,-1833
7363,-7371,3070,-1850
7443,-7323,3021,-1858
7523,-7335,3008,-1802
7603,-7340,3018,-1750
7683,-7334,3049,-1743
7763,-7339,3063,-1774
7843,-7299,3061,-1797
7923,-7324,3103,-1816
8003,-7352,3114,-1850
8083,-7322,3076,-1866
8163,-7291,3050,-1823
8243,-7277,3047,-1794
8323,-7330,3028,-1780
8403,-7406,2985,-1817
8483,-7433,2888,-1885
8563,-7429,2843,-1848
8643,-7418,2873,-1823
8723,-7439,2904,-1785
8803,-7440,2944,-1768
8963,-7380,2980,-1785
9043,-7353,2997,-1725
9123,-7357,2988,-1714
9203,-7359,2992,-1786
9283,-7377,3011,-1836
9363,-7394,3011,-1826
9443,-7376,3011,-1804
9523,-7368,3020,-1776
9603,-7364,3024,-1738
9683,-7371,3000,-1746
9763,-7417,2938,-1792
9843,-7421,2892,-1797
9923,-7397,2896,-1773
10005,-7378,2881,-1745
10083,-7377,2891,-1690
10163,-7368,2938,-1672
10243,-7364,2960,-1706
10323,-7379,2979,-1748
10403,-7386,2996,-1810
10483,-7381,3004,-1848
10563,-7379,3025,-1831
10723,-7360,3052,-1798
10803,-7318,3065,-1731
10883,-7306,3070,-1717
10963,-7327,3064,-1736
11043,-7362,3079,-1745
11123,-7395,3086,-1800
11203,-7402,3080,-1783
11283,-7397,3035,-1741
11363,-7386,2971,-1756
11443,-7321,2958,-1805
11523,-7308,2986,-1811
11603,-7345,2991,-1763
11683,-7353,2976,-1749
11763,-7340,2995,-1794
11843,-7317,2995,-1840
11923,-7340,2987,-1844
12003,-7376,3000,-1864
12083,-7376,3014,-1873
12163,-7325,3039,-1928
12243,-7310,3041,-1946
12403,-7337,3034,-1911
12483,-7358,3039,-1921
12563,-7394,3041,-1899
12643,-7402,3042,-1881
12723,-7397,3000,-1906
12802,-7394,2946,-1901
12882,-7393,2930,-1847
12962,-7402,2931,-1831
13042,-7414,2905,-1806
13122,-7411,2885,-1735
13202,-7410,2901,-1684
13282,-7409,2951,-1670
13362,-7375,2975,-1697
13442,-7350,2969,-1709
13522,-7390,2966,-1681
13602,-7425,2981,-1668
13682,-7433,3014,-1679
13762,-7446,3039,-1675
13842,-7452,3076,-1717
13922,-7471,3084,-1813
14082,-7438,3062,-1832
14162,-7397,3052,-1798
14242,-7420,3047,-1765
14322,-7422,3037,-1690
14402,-7398,3023,-1681
14482,-7429,3017,-1728
14562,-7452,2988,-1724
14642,-7412,2924,-1705
14722,-7410,2928,-1705
14802,-7426,2955,-1713
14882,-7400,2934,-1743
14962,-7379,2933,-1748
15042,-7378,2923,-1725
15122,-7377,2928,-1808
15202,-7368,2947,-1872
15282,-7347,2972,-1851
15362,-7320,2993,-1833
15442,-7316,3012,-1807
15522,-7323,3072,-1778
15602,-7343,3082,-1798
15762,-7369,3061,-1868
15842,-7390,3086,-1892
15922,-7383,3123,-1946
16002,-7354,3140,-1920
16082,-7323,3157,-1831
16162,-7292,3147,-1815
16242,-7312,3118,-1824
16322,-7321,3095,-1837
16402,-7299,3050,-1843
16482,-7272,3012,-1838
16562,-7277,2978,-1843
16642,-7339,2970,-1821
16722,-7376,2975,-1776
16802,-7359,2960,-1832
16882,-7335,3005,-1875
16962,-7357,3051,-1895
17042,-7359,3073,-1930
17122,-7326,3066,-1938
17202,-7353,3028,-1890
17282,-7382,3011,-1859
17442,-7354,2994,-1871
17522,-7340,2986,-1876
17602,-7343,3017,-1896
17682,-7309,3040,-1845
17762,-7354,3076,-1770
17842,-7417,3101,-1812
17922,-7404,3036,-1823
18002,-7407,2980,-1777
18082,-7408,2954,-1747
18162,-7400,2942,-1725
18242,-7413,2937,-1722
18322,-7462,2951,-1721
18402,-7459,2975,-1730
18482,-7407,2960,-1759
18562,-7365,2979,-1747
18642,-7320,3005,-1733
18721,-7333,2991,-1760
18801,-7339,2985,-1833
18881,-7316,2965,-1918
18961,-7331,2939,-1907
19121,-7381,2926,-1910
19201,-7396,2921,-1954
19281,-7360,2935,-1958
19361,-7352,2916,-1917
19441,-7365,2890,-1897
19521,-7354,2895,-1949
19601,-7357,2863,-1955
19681,-7342,2840,-1932
19761,-7292,2897,-1939
19841,-7311,2958,-1933
19921,-7329,2935,-1974
20001,-7329,2890,-2027
20081,-7354,2895,-2060
20161,-7366,2914,-2067
20241,-7380,2949,-1950
20321,-7370,2982,-1879
20401,-7390,2964,-1922
20481,-7426,2955,-1892
20561,-7425,2968,-1903
20641,-7442,2966,-1917
20801,-7441,2973,-1838
20881,-7415,2985,-1809
20961,-7412,2973,-1770
21041,-7419,2951,-1675
21121,-7405,2949,-1674
21201,-7424,2957,-1708
21281,-7450,2909,-1663
