Time (ms),X,Y,Z
21361,-7470,2895,-1643
21441,-7489,2966,-1616
21521,-7506,2999,-1604
21601,-7497,3023,-1649
21681,-7458,3025,-1679
21761,-7415,3001,-1650
21841,-7386,2964,-1568
21921,-7423,2955,-1521
22001,-7424,2977,-1542
22081,-7399,2978,-1586
22161,-7429,3013,-1641
22241,-7478,3021,-1666
22321,-7458,2939,-1652
22481,-7432,2875,-1663
22561,-7453,2863,-1634
22641,-7455,2848,-1620
22721,-7456,2850,-1708
22801,-7465,2834,-1800
22881,-7460,2817,-1800
22961,-7467,2836,-1800
23041,-7470,2861,-1860
23121,-7454,2907,-1837
23201,-7430,2912,-1835
23281,-7393,2897,-1868
23361,-7384,2941,-1849
23441,-7397,2995,-1815
23521,-7403,3004,-1841
23601,-7415,2999,-1905
23681,-7420,3006,-1892
23761,-7414,2992,-1852
23841,-7411,2985,-1825
23921,-7401,2965,-1812
24001,-7397,2922,-1806
24161,-7420,2893,-1803
24241,-7440,2862,-1836
24321,-7466,2856,-1885
24401,-7512,2888,-1874
24481,-7517,2894,-1844
24561,-7493,2837,-1829
24641,-7448,2802,-1840
24720,-7419,2846,-1887
24800,-7422,2875,-1943
24880,-7406,2854,-1961
24960,-7356,2861,-1884
25040,-7299,2907,-1848
25120,-7306,2946,-1916
25200,-7327,2964,-1991
25280,-7345,2972,-2009
25360,-7396,2967,-1975
25440,-7428,2965,-1942
25520,-7401,2981,-1900
25600,-7337,2963,-1881
25680,-7315,2963,-1906
25840,-7356,2997,-1910
25920,-7367,2996,-1877
26000,-7355,2970,-1811
26080,-7375,2983,-1712
26160,-7376,3015,-1716
26240,-7385,3030,-1796
26320,-7449,3046,-1815
26400,-7470,3044,-1816
26480,-7429,3027,-1825
26560,-7409,3027,-1829
26640,-7383,3096,-1873
26720,-7303,3239,-1954
26800,-7205,3399,-2043
26880,-7160,3636,-2221
26960,-7045,3918,-2458
27040,-6838,4092,-2671
27120,-6562,4147,-2906
27200,-6245,4105,-3213
27280,-6029,4110,-3518
27360,-5792,4130,-3797
27520,-5442,4174,-4175
27600,-5065,4271,-4624
27680,-4770,4025,-4996
27760,-4564,3757,-5383
27840,-4374,3718,-5708
27920,-4235,3597,-5894
28000,-4178,3532,-5947
28080,-4135,3510,-5929
28160,-4114,3517,-5997
28240,-4147,3580,-6080
28320,-4163,3567,-6093
28400,-4187,3450,-6151
28480,-5847,3652,-7142
28560,-6518,3797,-7553
28640,-5081,3616,-6780
28720,-4385,3430,-6411
28800,-4163,3301,-6436
28880,-4110,3479,-6472
28960,-3941,3614,-6387
